Latitude,Longitude,Garbage Percentage,Threshold,Timestamp
30.517,76.661,12.5,5.0,2025-03-30 19:15:37
30.515,76.659,25.0,50.0,2025-03-30 19:15:37
30.519,76.660,7.8,4.0,2025-03-30 19:15:37
30.520,76.662,35.2,10.0,2025-03-30 19:20:45
30.518,76.658,18.9,6.0,2025-03-30 19:25:15
30.516,76.657,5.6,3.0,2025-03-30 19:30:22
30.517,76.661,0.0,5.0,2025-03-31 07:38:48
30.519,76.66,0.0,4.0,2025-03-31 07:38:48
30.515,76.659,0.0,50.0,2025-03-31 07:38:48
30.517,76.661,0.0,5.0,2025-03-31 07:38:56
30.519,76.66,0.0,4.0,2025-03-31 07:38:56
30.515,76.659,0.0,50.0,2025-03-31 07:38:56
30.517,76.661,0.0,5.0,2025-03-31 07:38:58
30.519,76.66,0.0,4.0,2025-03-31 07:38:58
30.515,76.659,0.0,50.0,2025-03-31 07:38:58
30.517,76.661,0.0,5.0,2025-03-31 07:39:06
30.519,76.66,0.0,4.0,2025-03-31 07:39:06
30.515,76.659,0.0,50.0,2025-03-31 07:39:06
30.517,76.661,0.0,5.0,2025-03-31 07:39:08
30.519,76.66,0.0,4.0,2025-03-31 07:39:09
30.515,76.659,0.0,50.0,2025-03-31 07:39:09
30.517,76.661,0.0,5.0,2025-03-31 07:39:16
30.519,76.66,0.0,4.0,2025-03-31 07:39:16
30.515,76.659,0.0,50.0,2025-03-31 07:39:16
30.517,76.661,0.0,5.0,2025-03-31 07:39:19
30.519,76.66,0.0,4.0,2025-03-31 07:39:19
30.515,76.659,0.0,50.0,2025-03-31 07:39:19
30.517,76.661,0.0,5.0,2025-03-31 07:39:26
30.519,76.66,0.0,4.0,2025-03-31 07:39:26
30.515,76.659,0.0,50.0,2025-03-31 07:39:26
30.517,76.661,0.0,5.0,2025-03-31 07:39:29
30.519,76.66,0.0,4.0,2025-03-31 07:39:29
30.515,76.659,0.0,50.0,2025-03-31 07:39:29
30.517,76.661,0.0,5.0,2025-03-31 07:39:36
30.519,76.66,0.0,4.0,2025-03-31 07:39:36
30.515,76.659,0.0,50.0,2025-03-31 07:39:36
30.517,76.661,0.0,5.0,2025-03-31 07:39:39
30.519,76.66,0.0,4.0,2025-03-31 07:39:39
30.515,76.659,0.0,50.0,2025-03-31 07:39:39
30.517,76.661,0.0,5.0,2025-03-31 07:39:46
30.519,76.66,0.0,4.0,2025-03-31 07:39:46
30.515,76.659,0.0,50.0,2025-03-31 07:39:46
30.517,76.661,0.0,5.0,2025-03-31 07:39:49
30.519,76.66,0.0,4.0,2025-03-31 07:39:49
30.515,76.659,0.0,50.0,2025-03-31 07:39:49
30.517,76.661,0.0,5.0,2025-03-31 07:39:56
30.519,76.66,0.0,4.0,2025-03-31 07:39:56
30.515,76.659,0.0,50.0,2025-03-31 07:39:56
30.517,76.661,0.0,5.0,2025-03-31 07:39:59
30.519,76.66,0.0,4.0,2025-03-31 07:39:59
30.515,76.659,0.0,50.0,2025-03-31 07:39:59
30.517,76.661,0.0,5.0,2025-03-31 07:40:06
30.519,76.66,0.0,4.0,2025-03-31 07:40:06
30.515,76.659,0.0,50.0,2025-03-31 07:40:06
30.517,76.661,0.0,5.0,2025-03-31 07:40:09
30.519,76.66,0.0,4.0,2025-03-31 07:40:09
30.515,76.659,0.0,50.0,2025-03-31 07:40:09
30.517,76.661,0.0,5.0,2025-03-31 07:40:16
30.519,76.66,0.0,4.0,2025-03-31 07:40:16
30.515,76.659,0.0,50.0,2025-03-31 07:40:16
30.517,76.661,0.0,5.0,2025-03-31 07:40:19
30.519,76.66,0.0,4.0,2025-03-31 07:40:19
30.515,76.659,0.0,50.0,2025-03-31 07:40:19
30.517,76.661,0.0,5.0,2025-03-31 07:40:26
30.519,76.66,0.0,4.0,2025-03-31 07:40:27
30.515,76.659,0.0,50.0,2025-03-31 07:40:27
30.517,76.661,0.0,5.0,2025-03-31 07:40:29
30.519,76.66,0.0,4.0,2025-03-31 07:40:29
